user_id,signup_date,channel,plan_type,funnel_stage,recency_days,frequency_sessions,monetary_spent,design_count,export_count,share_count,avg_session_duration,features_used,trial_days_remaining,days_since_signup,has_completed_core_action,email_opened_last_campaign,churn_risk_score
U0001,2026-03-06,社交媒体,试用版,首次使用,35,4,0.0,4,1,0,7.9,4,0,34,True,False,85
U0002,2026-01-14,付费广告,免费版,首次使用,27,6,0.0,7,2,1,33.6,7,0,85,True,False,67
U0003,2026-02-02,付费广告,专业版,已注册,55,1,0.0,0,0,0,29.2,1,0,66,False,False,100
U0004,2026-02-14,直接访问,专业版,已活跃,13,3,0.0,5,1,0,27.1,5,0,54,True,False,33
U0005,2026-03-26,社交媒体,专业版,已活跃,8,30,0.0,25,3,4,18.8,15,0,14,True,False,28
U0006,2026-03-26,自然搜索,免费版,首次使用,18,5,0.0,4,0,0,17.3,2,0,14,True,False,58
U0007,2026-04-03,推荐,免费版,已活跃,9,19,0.0,16,6,2,3.9,12,0,6,True,True,29
U0008,2026-01-21,直接访问,专业版,已付费,2,22,852.73,19,9,2,11.4,14,0,78,True,False,2
U0009,2026-02-14,推荐,试用版,首次使用,12,7,0.0,6,1,0,2.7,5,0,54,True,True,62
U0010,2026-02-04,社交媒体,免费版,已活跃,3,11,0.0,12,2,0,27.0,15,0,64,True,True,23
U0011,2026-04-07,社交媒体,试用版,已活跃,7,37,0.0,27,7,2,6.6,15,12,2,True,False,37
U0012,2026-01-12,付费广告,企业版,已付费,10,60,1578.19,86,42,10,39.5,15,0,87,True,False,10
U0013,2026-01-24,推荐,企业版,已付费,5,49,1376.31,79,16,13,24.5,15,0,75,True,False,5
U0014,2026-03-21,直接访问,试用版,已注册,37,1,0.0,0,0,0,32.1,1,0,19,False,False,100
U0015,2026-03-23,自然搜索,专业版,首次使用,7,4,0.0,4,1,0,19.7,6,0,17,True,False,47
U0016,2026-03-23,自然搜索,企业版,已注册,83,1,0.0,0,0,0,26.1,1,0,17,False,True,100
U0017,2026-03-12,付费广告,试用版,首次使用,30,1,0.0,1,0,0,42.5,1,0,28,True,True,80
U0018,2026-02-21,直接访问,免费版,已付费,6,48,2771.1,54,18,10,5.6,15,0,47,True,True,6
U0019,2026-03-01,推荐,企业版,已活跃,2,5,0.0,6,2,0,12.9,4,0,39,True,False,22
U0020,2026-03-14,自然搜索,试用版,已付费,5,33,3958.36,65,12,5,35.5,15,0,26,True,True,15
U0021,2026-02-13,社交媒体,免费版,已注册,86,1,0.0,0,0,0,6.2,1,0,55,False,False,100
U0022,2026-03-27,付费广告,试用版,已付费,6,106,777.76,93,26,3,5.3,15,1,13,True,False,16
U0023,2026-03-13,推荐,企业版,已活跃,11,10,0.0,20,5,2,17.5,13,0,27,True,True,31
U0024,2026-03-07,直接访问,企业版,首次使用,41,1,0.0,2,0,0,6.0,1,0,33,True,False,81
U0025,2026-02-27,直接访问,企业版,已活跃,13,9,0.0,13,3,1,27.2,12,0,41,True,False,33
U0026,2026-01-29,付费广告,免费版,首次使用,36,1,0.0,1,0,0,11.7,1,0,70,True,True,76
U0027,2026-03-22,付费广告,专业版,已活跃,12,22,0.0,23,6,2,40.5,15,0,18,True,False,32
U0028,2026-02-22,自然搜索,专业版,已活跃,5,4,0.0,6,2,0,35.7,8,0,46,True,False,25
U0029,2026-02-15,自然搜索,试用版,已活跃,10,24,0.0,20,6,2,32.1,14,0,53,True,False,40
U0030,2026-04-04,直接访问,专业版,已付费,3,56,618.13,42,18,7,28.5,15,0,5,True,False,3
U0031,2026-02-13,直接访问,试用版,已浏览,58,1,0.0,0,0,0,39.1,1,0,55,False,False,100
U0032,2026-03-24,推荐,免费版,已活跃,2,13,0.0,9,3,0,11.6,12,0,16,True,False,22
U0033,2026-04-03,推荐,试用版,已活跃,8,7,0.0,8,3,0,39.5,14,8,6,True,True,38
U0034,2026-01-14,社交媒体,试用版,已浏览,71,1,0.0,0,0,0,35.9,1,0,85,False,False,100
U0035,2026-01-13,直接访问,试用版,首次使用,40,10,0.0,7,1,1,34.2,9,0,86,True,False,90
U0036,2026-01-27,推荐,免费版,已浏览,30,1,0.0,1,0,0,26.1,1,0,72,True,True,90
U0037,2026-03-12,直接访问,试用版,已浏览,60,1,0.0,1,0,0,12.6,1,0,28,True,False,100
U0038,2026-03-31,自然搜索,专业版,已付费,13,45,206.29,84,21,12,20.2,15,0,9,True,False,13
U0039,2026-02-07,付费广告,试用版,已浏览,77,1,0.0,1,0,0,36.1,1,0,61,True,False,100
U0040,2026-02-28,自然搜索,试用版,首次使用,24,3,0.0,7,1,1,3.4,5,0,40,True,False,74
U0041,2026-03-29,推荐,免费版,已活跃,6,22,0.0,18,7,3,35.6,15,0,11,True,False,26
